        table_name         |             column_name             |        data_type         | is_nullable |                      column_default                       
---------------------------+-------------------------------------+--------------------------+-------------+-----------------------------------------------------------
 activity_timeline         | id                                  | bigint                   | NO          | 
 activity_timeline         | entity_type                         | text                     | NO          | 
 activity_timeline         | entity_id                           | text                     | NO          | 
 activity_timeline         | action                              | text                     | NO          | 
 activity_timeline         | description                         | text                     | NO          | 
 activity_timeline         | user_name                           | text                     | YES         | 'Marek'::text
 activity_timeline         | created_at                          | timestamp with time zone | YES         | now()
 activity_timeline         | tenant_id                           | integer                  | YES         | 1
 activity_timeline         | user_id_ref                         | text                     | YES         | 
 audit_log                 | id                                  | bigint                   | NO          | 
 audit_log                 | tenant_id                           | integer                  | YES         | 1
 audit_log                 | user_id                             | bigint                   | YES         | 
 audit_log                 | action                              | text                     | NO          | 
 audit_log                 | entity_type                         | text                     | NO          | 
 audit_log                 | entity_id                           | text                     | YES         | 
 audit_log                 | old_values                          | jsonb                    | YES         | 
 audit_log                 | new_values                          | jsonb                    | YES         | 
 audit_log                 | created_at                          | timestamp with time zone | YES         | now()
 client_notes              | id                                  | bigint                   | NO          | 
 client_notes              | client_id                           | bigint                   | NO          | 
 client_notes              | note                                | text                     | NO          | 
 client_notes              | created_by                          | text                     | YES         | 'Marek'::text
 client_notes              | created_at                          | timestamp with time zone | YES         | now()
 client_notes              | tenant_id                           | integer                  | NO          | 1
 clients                   | id                                  | bigint                   | NO          | 
 clients                   | client_code                         | text                     | YES         | 
 clients                   | client_type                         | text                     | NO          | 'domestic'::text
 clients                   | title                               | text                     | YES         | 
 clients                   | first_name                          | text                     | YES         | 
 clients                   | last_name                           | text                     | YES         | 
 clients                   | display_name                        | text                     | NO          | 
 clients                   | company_name                        | text                     | YES         | 
 clients                   | phone_primary                       | text                     | YES         | 
 clients                   | phone_secondary                     | text                     | YES         | 
 clients                   | email_primary                       | text                     | YES         | 
 clients                   | email_secondary                     | text                     | YES         | 
 clients                   | website                             | text                     | YES         | 
 clients                   | preferred_contact_method            | text                     | NO          | 'email'::text
 clients                   | billing_address_line1               | text                     | YES         | 
 clients                   | billing_city                        | text                     | YES         | 
 clients                   | billing_postcode                    | text                     | YES         | 
 clients                   | billing_country                     | text                     | NO          | 'GB'::text
 clients                   | status                              | text                     | NO          | 'active'::text
 clients                   | is_commercial                       | boolean                  | NO          | false
 clients                   | created_at                          | timestamp with time zone | NO          | now()
 clients                   | updated_at                          | timestamp with time zone | NO          | now()
 clients                   | deleted_at                          | timestamp with time zone | YES         | 
 clients                   | created_by_user_id                  | bigint                   | YES         | 
 clients                   | tenant_id                           | integer                  | NO          | 1
 clients                   | company_registration_no             | text                     | YES         | 
 clients                   | vat_no                              | text                     | YES         | 
 clients                   | preferred_language_code             | text                     | YES         | 
 clients                   | default_hourly_rate                 | numeric                  | YES         | 0
 communications            | id                                  | bigint                   | NO          | 
 communications            | client_id                           | bigint                   | YES         | 
 communications            | subject                             | text                     | YES         | 
 communications            | message_summary                     | text                     | NO          | ''::text
 communications            | direction                           | text                     | NO          | 'inbound'::text
 communications            | sent_at                             | timestamp with time zone | YES         | 
 communications            | created_at                          | timestamp with time zone | NO          | now()
 communications            | comm_type                           | text                     | YES         | 'telefon'::text
 communications            | job_id                              | bigint                   | YES         | 
 communications            | notes                               | text                     | YES         | 
 communications            | tenant_id                           | integer                  | NO          | 1
 industry_groups           | id                                  | bigint                   | NO          | nextval('crm.industry_groups_id_seq'::regclass)
 industry_groups           | code                                | text                     | NO          | 
 industry_groups           | name                                | text                     | NO          | 
 industry_groups           | sort_order                          | integer                  | YES         | 0
 industry_subtypes         | id                                  | bigint                   | NO          | nextval('crm.industry_subtypes_id_seq'::regclass)
 industry_subtypes         | industry_group_id                   | bigint                   | NO          | 
 industry_subtypes         | code                                | text                     | NO          | 
 industry_subtypes         | name                                | text                     | NO          | 
 industry_subtypes         | sort_order                          | integer                  | YES         | 0
 invoice_items             | id                                  | bigint                   | NO          | 
 invoice_items             | tenant_id                           | integer                  | NO          | 1
 invoice_items             | invoice_id                          | bigint                   | NO          | 
 invoice_items             | description                         | text                     | NO          | 
 invoice_items             | quantity                            | numeric                  | NO          | 1
 invoice_items             | unit_price                          | numeric                  | NO          | 0
 invoice_items             | total                               | numeric                  | NO          | 0
 invoice_items             | sort_order                          | integer                  | YES         | 0
 invoice_items             | created_at                          | timestamp with time zone | YES         | now()
 invoices                  | id                                  | bigint                   | NO          | 
 invoices                  | invoice_number                      | text                     | YES         | 
 invoices                  | client_id                           | bigint                   | NO          | 1
 invoices                  | grand_total                         | numeric                  | NO          | 0
 invoices                  | status                              | text                     | NO          | 'draft'::text
 invoices                  | due_date                            | date                     | YES         | 
 invoices                  | created_at                          | timestamp with time zone | NO          | now()
 invoices                  | tenant_id                           | integer                  | NO          | 1
 invoices                  | updated_at                          | timestamp with time zone | YES         | now()
 invoices                  | notes                               | text                     | YES         | 
 invoices                  | job_id                              | bigint                   | YES         | 
 invoices                  | created_by                          | bigint                   | YES         | 
 invoices                  | work_report_id                      | bigint                   | YES         | 
 job_notes                 | id                                  | bigint                   | NO          | 
 job_notes                 | job_id                              | bigint                   | NO          | 
 job_notes                 | note                                | text                     | NO          | 
 job_notes                 | created_by                          | text                     | YES         | 'Marek'::text
 job_notes                 | created_at                          | timestamp with time zone | YES         | now()
 job_notes                 | tenant_id                           | integer                  | NO          | 1
 jobs                      | id                                  | bigint                   | NO          | 
 jobs                      | job_number                          | text                     | YES         | 
 jobs                      | client_id                           | bigint                   | NO          | 1
 jobs                      | property_id                         | bigint                   | YES         | 1
 jobs                      | quote_id                            | bigint                   | YES         | 
 jobs                      | job_title                           | text                     | NO          | 
 jobs                      | job_status                          | text                     | NO          | 'draft'::text
 jobs                      | start_date_planned                  | date                     | YES         | 
 jobs                      | created_at                          | timestamp with time zone | NO          | now()
 jobs                      | updated_at                          | timestamp with time zone | NO          | now()
 jobs                      | deleted_at                          | timestamp with time zone | YES         | 
 jobs                      | tenant_id                           | integer                  | NO          | 1
 leads                     | id                                  | bigint                   | NO          | 
 leads                     | lead_code                           | text                     | YES         | 
 leads                     | client_id                           | bigint                   | YES         | 
 leads                     | lead_source                         | text                     | NO          | 'web'::text
 leads                     | status                              | text                     | NO          | 'new'::text
 leads                     | received_at                         | timestamp with time zone | NO          | now()
 leads                     | created_at                          | timestamp with time zone | NO          | now()
 leads                     | contact_name                        | text                     | YES         | 
 leads                     | contact_email                       | text                     | YES         | 
 leads                     | contact_phone                       | text                     | YES         | 
 leads                     | description                         | text                     | YES         | 
 leads                     | notes                               | text                     | YES         | 
 leads                     | job_id                              | bigint                   | YES         | 
 leads                     | updated_at                          | timestamp with time zone | YES         | now()
 leads                     | tenant_id                           | integer                  | NO          | 1
 migration_log             | id                                  | integer                  | NO          | 
 migration_log             | filename                            | text                     | NO          | 
 migration_log             | applied_at                          | timestamp with time zone | YES         | now()
 notifications             | id                                  | bigint                   | NO          | 
 notifications             | tenant_id                           | integer                  | NO          | 1
 notifications             | user_id                             | bigint                   | YES         | 
 notifications             | title                               | text                     | NO          | 
 notifications             | body                                | text                     | YES         | 
 notifications             | notification_type                   | text                     | YES         | 'info'::text
 notifications             | entity_type                         | text                     | YES         | 
 notifications             | entity_id                           | text                     | YES         | 
 notifications             | is_read                             | boolean                  | YES         | false
 notifications             | created_at                          | timestamp with time zone | YES         | now()
